"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"Accenture",102,108,"🔒","🔒","🔒","🔒",,
"EY",103,90,"🔒","🔒","🔒","🔒",,
"Sberbank",104,61,"🔒","🔒","🔒","🔒",,
"Boeing",105,103,"🔒","🔒","🔒","🔒",,
"TD Bank",106,87,"🔒","🔒","🔒","🔒",,
"Woolworths Group",107,113,"🔒","🔒","🔒","🔒",,
"L'Oréal",108,"-","🔒","🔒","🔒","🔒",,
"UBS",109,137,"🔒","🔒","🔒","🔒",,
"Bradesco",110,64,"🔒","🔒","🔒","🔒",,
"Renault",111,"-","🔒","🔒","🔒","🔒",,
"au",112,163,"🔒","🔒","🔒","🔒",,
"Costco",113,119,"🔒","🔒","🔒","🔒",,
"EDF",114,118,"🔒","🔒","🔒","🔒",,
"Goldman Sachs",115,132,"🔒","🔒","🔒","🔒",,
"Credit Suisse",116,94,"🔒","🔒","🔒","🔒",,
"Carrefour",117,112,"🔒","🔒","🔒","🔒",,
"Time Warner Cable",118,104,"🔒","🔒","🔒","🔒",,
"Starbucks",119,"-","🔒","🔒","🔒","🔒",,
"Itaú",120,75,"🔒","🔒","🔒","🔒",,
"UnitedHealth Group",121,127,"🔒","🔒","🔒","🔒",,
"Facebook",122,196,"🔒","🔒","🔒","🔒",,
"TimeWarner",123,110,"🔒","🔒","🔒","🔒",,
"E.ON",124,114,"🔒","🔒","🔒","🔒",,
"Ping An",125,169,"🔒","🔒","🔒","🔒",,
"Petronas",126,143,"🔒","🔒","🔒","🔒",,
"Bosch",127,111,"🔒","🔒","🔒","🔒",,
"China State Construction",128,135,"🔒","🔒","🔒","🔒",,
"Gazprom",129,116,"🔒","🔒","🔒","🔒",,
"Capital One",130,130,"🔒","🔒","🔒","🔒",,
"Visa",131,128,"🔒","🔒","🔒","🔒",,
"Honeywell",132,144,"🔒","🔒","🔒","🔒",,
"Sumitomo Group",133,"-","🔒","🔒","🔒","🔒",,
"Huawei",134,201,"🔒","🔒","🔒","🔒",,
"Subway",135,190,"🔒","🔒","🔒","🔒",,
"BBVA",136,122,"🔒","🔒","🔒","🔒",,
"NBC",137,149,"🔒","🔒","🔒","🔒",,
"Gillette",138,139,"🔒","🔒","🔒","🔒",,
"SK Group",139,"-","🔒","🔒","🔒","🔒",,
"Telstra",140,170,"🔒","🔒","🔒","🔒",,
"Dell",141,167,"🔒","🔒","🔒","🔒",,
"Macy's",142,134,"🔒","🔒","🔒","🔒",,
"TCS",143,"-","🔒","🔒","🔒","🔒",,
"DirecTV",144,124,"🔒","🔒","🔒","🔒",,
"Metlife",145,157,"🔒","🔒","🔒","🔒",,
"Canon",146,125,"🔒","🔒","🔒","🔒",,
"Sky",147,"-","🔒","🔒","🔒","🔒",,
"Morgan Stanley",148,129,"🔒","🔒","🔒","🔒",,
